id,book,paragraph,author,title1,title0,pts-abbr,cscd-abbr,zh-cn-name1,zh-cn-name0,分类
1,1,2,,,namakkārapāḷi,Nam,nama.,,礼赞,藏外
2,1,159,,,namakkāraṭīkā,NamT,nama.ṭī.,,礼赞复注,藏外
3,2,2,,,mahāpaṇāmapāṭha,Mpp,,,,藏外
4,2,428,,,tigumbacetiya thomanā,Tgc,,,,藏外
5,2,479,,,vāsamālinīkya,Vāsam,,,,藏外
6,3,2,,,lakkhaṇāto,Lakkh,,,,藏外
7,4,2,,,suttavandanā,Sutv,,,,藏外
8,5,2,,,jinālaṅkāra,Jināl,,,,藏外
9,6,2,,,kamalāñjali,Kamal,,,,藏外
10,7,2,,,pajjamadhu,Pjm,,,,藏外
11,8,2,,,buddhaguṇagāthāvalī,Bgg,,,,藏外
12,9,2,,,abhidhānappadīpikāṭīkā,AbhpT,,,名词灯明·复注,藏外
13,10,2,,,subodhālaṅkāro,Subodh,,,,藏外
14,11,2,,,subodhālaṅkāraṭīkā,SubodhT,,,,藏外
15,12,2,,,bālāvatāra,Bālāv,,,启蒙入门,藏外
16,13,2,,,moggallānasuttapāṭho,Mogg,,,,藏外
17,13,1105,,,moggallānabyākaraṇaṃ,Mogg,,,,藏外
18,14,2,,,kaccāyanabyākaraṇaṃ,Kacc,,,,藏外
19,14,715,,,mahākaccāyanasaddāpāṭha,Kacc,,,,藏外
20,15,2,,,saddanītippakaraṇaṃ (padamālā),Sadd,saddanī.pada.,,语法论,藏外
21,16,2,,,saddanītippakaraṇaṃ (dhātumālā),Sadd,saddanī.dhātu.,,语法论,藏外
22,17,2,,,padarūpasiddhi,Rūp,padarū.,,句身成就,藏外
23,18,2,,,moggallāna-pañcikā-ṭīkā,MoggPT,,,,藏外
24,19,2,,,payogasiddhipāḷi,Payog,,,,藏外
25,20,2,,,vuttodayaṃ,Vutt,,,,藏外
26,21,2,,,abhidhānappadīpikā,Abhp,abhidhā.dīp.,,名词灯明,藏外
27,22,2,,,niruttidīpanīpāṭha,Nirutt,,,,藏外
28,23,2,,,paramatthadīpanī,Pmd,,,究竟意灯,藏外
29,24,2,,,anudīpanīpāṭha,Anudīp,,,,藏外
30,25,2,,,paṭṭhānuddesa dīpanīpāṭha,Paṭṭhud,,,,藏外
31,26,2,,,caturārakkhadīpanī,Catur,,,,藏外
32,27,2,,,kavidappaṇanīti,Kavid,,,,藏外
33,28,2,,,nītimañjarī,Nītim,,,,藏外
34,29,2,,,dhammanīti,Dhn,,,,藏外
35,30,2,,,mahārahanīti,Mhn,,,,藏外
36,31,2,,,lokanīti,Ln,,,,藏外
37,32,2,,,suttantanīti,Sutn,,,,藏外
38,32,134,,,vasalasutta,Sutn,,,,藏外
39,33,2,,,sūrassatīnīti,Sūrn,,,,藏外
40,34,2,,,cāṇakyanītipāḷi,Cāṇ,,,,藏外
41,35,2,,,naradakkhadīpanī,Narad,,,,藏外
42,36,2,,,rasavāhinī,Ras,,,,藏外
43,37,2,,,sīmavisodhanī,Sīmav,,,,藏外
44,38,2,,,vessantarāgīti,Vessag,,,,藏外
45,39,3,,,(saṅgayana-puccha vissajjanā) dīghanikāye,SgyDn,,,结集问答 长部,藏外
46,40,3,,,(saṅgayana-puccha vissajjanā) majjhimanikāya,SgyMn,,,结集问答 中部,藏外
47,41,3,,,(saṅgayana-puccha vissajjanā) saṃyuttanikāye,SgySn,,,结集问答 相应部,藏外
48,42,3,,,(saṅgayana-puccha vissajjanā) aṅguttaranikāye,SgyAn,,,结集问答 增支部,藏外
49,43,2,,,(saṅgayana-puccha vissajjanā) vinayapiṭaka,SgyVin,,,结集问答 律藏,藏外
50,44,2,,,(saṅgayana-puccha vissajjanā) abhidhammapiṭaka,SgyAbh,,,结集问答 阿毗达磨,藏外
51,45,2,,,(saṅgayana-puccha vissajjanā) aṭṭhakathā,SgyAṭṭh,,,结集问答 义注,藏外
52,46,1,,,milidaṭīkā,MilT,,,弥兰陀王问经复注,藏外
53,47,1,,,padamañjarī,Padam,,,,藏外
54,48,1,,,padasādhanaṃ,Padas,,,,藏外
55,49,1,,,saddabindu pakaraṇaṃ,Saddb,,,,藏外
56,50,1,,,kaccāyana  dhātu mañjūsā,Dhātum,,,,藏外
57,51,1,,,samantakūṭavaṇṇanā,Samantak,,,,藏外
58,52,1,,,moggallāna vuttivivaraṇapañcikā.,MoggP,,,,藏外
59,53,1,,,thupavaṃsa,Thūp,thupavaṃ.,,塔史,藏外
60,54,1,,,dāṭhāvaṃsa,Dāṭh,dāṭhāvaṃ.,,,藏外
61,55,1,,,dhātupāṭha  vilāsiniyā,Dhātup,,,,藏外
62,56,1,,,dhātuvaṃsa,Dhātuv,dhātuvaṃ.,,舍利史,藏外
63,57,1,,,hatthavanagallavihāra  vaṃso,Hatth,,,手林洞寺史,藏外
64,58,1,,,jinacaritaya,Jinac,,,,藏外
65,59,1,,,jinavaṃsadīpaṃ,Jinav,,,,藏外
66,60,1,,,telakaṭāhagāthā,Tel,,,油壶偈,藏外
67,61,2,,,cūḷaganthavaṃsapāḷi,Cgv,,,,藏外
68,62,2,,,sāsanavaṃsappadīpikā,Sāsp,,,,藏外
